Received_data:aa55020000045dfc615d; usetime/send:656.0001373291016 ms
Received_data:aa55020000045dfc615d; usetime/send:656.0001373291016 ms
Received_data:aa55020000045dfc615d; usetime/send:646.9998359680176 ms
Received_data:aa55020000045dfc615d; usetime/send:650.0000953674316 ms
Received_data:aa55020000045dfc615d; usetime/send:651.0000228881836 ms
Received_data:aa55020000045dfc615d; usetime/send:649.9998569488525 ms
Received_data:aa55020000045dfc615d; usetime/send:638.9999389648438 ms
Received_data:aa55020000045dfc615d; usetime/send:648.0000019073486 ms
Received_data:aa55020000045dfc615d; usetime/send:628.000020980835 ms
Received_data:aa55020000045dfc615d; usetime/send:631.0000419616699 ms
Received_data:aa55020000045dfc615d; usetime/send:620.999813079834 ms
Received_data:aa55020000045dfc615d; usetime/send:623.999834060669 ms
Received_data:aa55020000045dfc615d; usetime/send:616.9998645782471 ms
Received_data:aa55020000045dfc615d; usetime/send:627.000093460083 ms
Received_data:aa55020000045dfc615d; usetime/send:602.0002365112305 ms
Received_data:aa55020000045dfc615d; usetime/send:612.9999160766602 ms
Received_data:aa55020000045dfc615d; usetime/send:612.9999160766602 ms
Received_data:aa55020000045dfc615d; usetime/send:621.0000514984131 ms
Received_data:aa55020000045dfc615d; usetime/send:614.9997711181641 ms
Received_data:aa55020000045dfc615d; usetime/send:623.0001449584961 ms
Received_data:aa55020000045dfc615d; usetime/send:599.9999046325684 ms
Received_data:aa55020000045dfc615d; usetime/send:615.0000095367432 ms
Received_data:aa55020000045dfc615d; usetime/send:592.0000076293945 ms
Received_data:aa55020000045dfc615d; usetime/send:612.9999160766602 ms
Received_data:aa55020000045dfc615d; usetime/send:582.9999446868896 ms
Received_data:aa55020000045dfc615d; usetime/send:607.0001125335693 ms
Received_data:aa55020000045dfc615d; usetime/send:577.0003795623779 ms
Received_data:aa55020000045dfc615d; usetime/send:592.0000076293945 ms
Received_data:aa55020000045dfc615d; usetime/send:563.9998912811279 ms
Received_data:aa55020000045dfc615d; usetime/send:579.9999237060547 ms
Received_data:aa55020000045dfc615d; usetime/send:555.9999942779541 ms
Received_data:aa55020000045dfc615d; usetime/send:553.9999008178711 ms
Received_data:aa55020000045dfc615d; usetime/send:582.0000171661377 ms
Received_data:aa55020000045dfc615d; usetime/send:540.9998893737793 ms
Received_data:aa55020000045dfc615d; usetime/send:578.0000686645508 ms
Received_data:aa55020000045dfc615d; usetime/send:580.9998512268066 ms
Received_data:aa55020000045dfc615d; usetime/send:544.9998378753662 ms
Received_data:aa55020000045dfc615d; usetime/send:546.0002422332764 ms
Received_data:aa55020000045dfc615d; usetime/send:580.0001621246338 ms
Received_data:aa55020000045dfc615d; usetime/send:538.0001068115234 ms
Received_data:aa55020000045dfc615d; usetime/send:569.9999332427979 ms
Received_data:aa55020000045dfc615d; usetime/send:528.0001163482666 ms
Received_data:aa55020000045dfc615d; usetime/send:572.0000267028809 ms
Received_data:aa55020000045dfc615d; usetime/send:523.9999294281006 ms
Received_data:aa55020000045dfc615d; usetime/send:569.9999332427979 ms
Received_data:aa55020000045dfc615d; usetime/send:536.0000133514404 ms
Received_data:aa55020000045dfc615d; usetime/send:577.0001411437988 ms
Received_data:aa55020000045dfc615d; usetime/send:538.0001068115234 ms
Received_data:aa55020000045dfc615d; usetime/send:570.9998607635498 ms
